Syntax version=4
Fri Apr 28 14:34:06 2017
Starting process (2666410000 clocks per sec)

LogRawData=false
VarHeader=1
D:		new_0	new_1	new_2	new_3
D:	time(ms)	(0x20000644,2)	(0x20000646,2)	(0x20000648,2)	(0x2000064a,2)
D:	3721.51	0	3	1386	0
D:	3727.51	0	2	1386	0
D:	3733.56	0	5	1389	0
D:	3739.52	2	6	1387	0
D:	3745.52	2	4	1387	0
D:	3751.54	0	1	1385	0
D:	3757.53	2	5	1389	0
D:	3763.51	0	1	1388	0
D:	3769.51	3	4	1388	0
D:	3775.55	38	4	1388	0
D:	3781.53	12	5	1386	0
D:	3787.52	0	3	1386	0
D:	3793.52	0	3	1386	0
D:	3799.52	0	4	1388	0
D:	3805.86	1	3	1388	0
D:	3823.52	27	3	1384	0
D:	3829.52	3	7	1385	0
D:	3837.56	14	1	1387	0
D:	3843.61	0	3	1387	0
D:	3849.52	1	7	1386	0
D:	3855.52	0	0	1387	0
D:	3861.51	11	1	1387	0
D:	3867.52	0	3	1385	0
D:	3873.51	0	7	1388	0
D:	3879.55	0	3	1385	0
D:	3885.51	0	1	1387	0
D:	3891.51	7	7	1386	0
D:	3897.51	0	0	1386	0
D:	3903.53	1	3	1388	0
D:	3909.51	0	5	1387	0
D:	3915.51	7	6	1388	0
D:	3921.53	0	5	1387	0
D:	3927.51	0	6	1387	0
D:	3933.51	3	3	1385	0
D:	3939.51	0	0	1387	0
D:	3945.53	0	7	1388	0
D:	3951.56	2	5	1385	0
D:	3957.51	0	4	1387	0
D:	3963.51	0	3	1385	0
D:	3969.52	3	0	1387	0
D:	3975.51	1	3	1388	0
D:	3981.50	1	7	1388	0
D:	3987.51	0	3	1387	0
D:	3993.51	0	6	1386	0
D:	3999.51	3	1	1388	0
D:	4005.52	10	2	1386	0
D:	4011.52	13	1	1385	0
D:	4017.51	0	3	1386	0
D:	4023.50	1	1	1385	0
D:	4029.52	0	5	1385	0
D:	4035.52	0	5	1384	0
D:	4041.51	0	6	1388	0
D:	4047.57	1	5	1385	0
D:	4053.53	8	5	1387	0
D:	4059.50	12	0	1386	0
D:	4065.51	1	2	1385	0
D:	4071.51	3	8	1387	0
D:	4077.52	0	0	1387	0
D:	4083.51	14	3	1386	0
D:	4089.51	1	6	1385	0
D:	4095.53	3	1	1389	0
D:	4101.51	0	7	1389	0
D:	4107.50	5	7	1387	0
D:	4113.51	1	1	1388	0
D:	4119.54	0	4	1387	0
D:	4125.51	0	1	1385	0
D:	4131.51	0	3	1385	0
D:	4137.53	0	4	1388	0
D:	4143.51	2	0	1386	0
D:	4149.50	0	7	1387	0
D:	4155.52	11	0	1388	0
D:	4161.53	1	6	1388	0
D:	4167.51	0	0	1388	0
D:	4173.51	0	1	1386	0
D:	4179.52	1	4	1385	0
D:	4185.52	1	0	1388	0
D:	4191.50	0	4	1390	0
D:	4197.50	0	3	1389	0
D:	4203.52	0	6	1388	0
D:	4209.52	0	3	1387	0
D:	4215.51	1	4	1387	0
D:	4221.51	12	1	1385	0
D:	4227.52	0	2	1384	0
D:	4233.50	4	2	1386	0
D:	4239.50	3	3	1386	0
D:	4245.50	35	1	1388	0
D:	4251.52	9	3	1386	0
D:	4257.51	1	5	1388	0
D:	4263.61	0	0	1388	0
D:	4269.60	37	6	1386	0
D:	4275.50	12	6	1390	0
D:	4281.50	1	4	1385	0
D:	4287.50	1	6	1387	0
D:	4293.52	0	3	1389	0
D:	4299.51	0	2	1385	0
D:	4305.51	0	1	1388	0
D:	4311.52	0	2	1386	0
D:	4317.50	23	6	1388	0
D:	4323.50	13	2	1385	0
D:	4329.51	0	7	1385	0
D:	4335.53	1	0	1389	0
D:	4341.50	0	8	1384	0
D:	4347.50	0	3	1387	0
D:	4353.53	4	6	1387	0
D:	4359.51	0	7	1386	0
D:	4365.50	2	3	1387	0
D:	4371.50	0	4	1388	0
D:	4377.54	3	3	1385	0
D:	4383.51	3	1	1388	0
D:	4389.51	1	1	1387	0
D:	4395.54	2	1	1385	0
D:	4401.53	0	4	1388	0
D:	4407.50	1	3	1386	0
D:	4414.30	14	6	1393	0
D:	4419.53	7	4	1388	0
D:	4425.51	10	6	1386	0
D:	4431.50	2	5	1388	0
D:	4437.53	0	1	1388	0
D:	4443.53	0	6	1385	0
D:	4449.50	0	3	1386	0
D:	4455.50	3	4	1385	0
D:	4461.53	1	5	1384	0
D:	4467.51	8	0	1388	0
D:	4473.50	0	2	1386	0
D:	4479.52	0	0	1387	0
D:	4485.52	1	4	1387	0
D:	4491.50	0	5	1386	0
D:	4497.50	0	4	1387	0
D:	4503.51	4	6	1387	0
D:	4509.53	1	1	1389	0
D:	4515.50	7	5	1384	0
D:	4521.51	0	6	1389	0
D:	4527.52	0	0	1386	0
D:	4533.49	1	3	1389	0
D:	4539.49	2	0	1388	0
D:	4545.50	3	0	1389	0
D:	4551.51	5	6	1390	0
D:	4557.50	1	1	1390	0
D:	4563.50	0	8	1385	0
D:	4569.52	0	0	1387	0
D:	4575.50	0	4	1388	0
D:	4581.49	2	4	1386	0
D:	4587.50	0	7	1386	0
D:	4593.52	11	0	1384	0
D:	4599.50	31	3	1386	0
D:	4605.51	1	6	1386	0
D:	4611.52	0	6	1386	0
D:	4617.50	0	5	1388	0
D:	4623.49	1	3	1387	0
D:	4629.50	3	5	1387	0
D:	4635.51	42	3	1387	0
D:	4641.50	1	4	1385	0
D:	4647.50	1	5	1388	0
D:	4653.53	2	7	1386	0
D:	4659.50	19	1	1387	0
D:	4665.49	10	2	1388	0
D:	4671.50	0	4	1386	0
D:	4677.53	0	7	1388	0
D:	4683.50	0	3	1387	0
D:	4689.50	14	6	1384	0
